Category,Name,Price,Quantity
Bakery,Chocolate Chip Cookies - 16ct/22.4oz - Favorite Day™,$7.69,16ct
Bakery,Cheese Danish - 14oz - Favorite Day™,$5.49,14oz
Bakery,Assorted Mini Donuts - 11oz - Favorite Day™,$4.79,11oz
Bakery,Mini Cinnamon Rolls - 12oz - Favorite Day™,$5.49,12oz
Bakery,Betty Crocker Batchables Chocolate Chip Cookie Mix - 28oz,$6.99,28oz
Bakery,Betty Crocker Mug Treats Soft-Baked Chocolate Chip Cookie - 4ct/13.9oz,$4.69,4ct
Bakery,Betty Crocker Snickerdoodle Cookie Mix - 17.9oz,$3.69,17.9oz
Bakery,Blueberry White Chocolate Chunk Mini Scones - 10.25oz - Favorite Day™,$5.49,10.25oz
Bakery,Blueberry Streusel Muffins - 4ct/14oz - Favorite Day™,$3.99,4ct
Bakery,Orange Frosted Cookies - 13.5oz/10ct - Favorite Day™,$4.99,13.5oz
Bakery,Halloween Decorated Cookie-Jack-o-lantern - 2.12oz - Favorite Day™,$2.49,2.12oz
Bakery,Blueberry Streusel & Cinnamon Coffee Cake Muffins Variety Pack - 14oz/4ct - Favorite Day™,$3.99,14oz
Bakery,Mini Orange Cranberry Scones - 10.25oz - Favorite Day™,$5.49,10.25oz
Bakery,Harvest Vanilla Mini Cupcakes - 10oz/12ct - Favorite Day™,$4.49,10oz
Dairy & Eggs,Cage-Free Fresh Grade A Large Brown Eggs - 12ct - Good & Gather™,$5.19,12ct
Dairy & Eggs,Cage-Free Large White Fresh Grade A Eggs (CA SEFS Compliant) - 24oz/12ct - Good & Gather™ (Packaging May Vary),$2.69,24oz
Dairy & Eggs,Cage-Free Large White Fresh Grade A Eggs (CA SEFS Compliant) - 36oz/18ct - Good & Gather™ (Packaging May Vary),$4.59,36oz
Dairy & Eggs,Shredded Mexican-Style Cheese - 8oz - Good & Gather™,$2.49,8oz
Dairy & Eggs,Vital Farms Organic Pasture-Raised Grade A Large Eggs - 12ct,$10.99,12ct
Dairy & Eggs,Shredded Mozzarella Cheese - 8oz - Good & Gather™,$2.49,8oz
Dairy & Eggs,Happy Egg Large Brown Organic Free Range Grade A Eggs - 12ct,$6.89,12ct
Dairy & Eggs,Half & Half - 32 fl oz (1qt) - Good & Gather™,$3.19,N/A
Frozen,Totino's Pepperoni Frozen Pizza Rolls - 24.8oz,$5.99,24.8oz
Frozen,Deep Indian Gluten Free Frozen Spinach Paneer - 10oz,$6.29,10oz
Frozen,Frozen Spicy Korean Pork Potstickers - 11oz - Good & Gather™,$6.59,11oz
Frozen,Frozen Stuffed Mini Rigatoni in a Marinara Sauce -with Hidden Vegetables - 8oz - Good & Gather™,$2.99,8oz
Frozen,Wicked Kitchen Frozen Korean Inspired Bowl - 10oz,$5.99,10oz
Frozen,Frozen Breaded Mozzarella Sticks - 32oz - Market Pantry™,$8.79,32oz
Frozen,Totino's Pepperoni Party Frozen Pizza - 10.2oz,$2.29,10.2oz
Frozen,Deep Indian Frozen Gluten Free Chicken Curry - 9oz,$6.29,9oz
Frozen,Deep Indian Kitchen Gluten Free Frozen Butter Chicken with Rice - 9oz,$6.29,9oz
Frozen,Frozen Chicken and Vegetable Potstickers - 12oz - Good & Gather™,$6.59,12oz
Frozen,Frozen Pork Soup Dumplings - 6oz/6ct - Good & Gather™,$6.59,6oz
Frozen,Stouffer's Family Size Frozen Lasagna with Meat & Sauce - 38oz,$8.99,38oz
Frozen,Mini Corn Dogs Frozen - 32oz - Market Pantry™,$9.79,32oz
Frozen,Frozen Uncured Bacon Wrapped Cream Cheese Stuffed Jalapenos - 6.35oz/8ct - Good & Gather™,$6.59,6.35oz
Frozen,Wicked Kitchen Frozen Peng Panang Tofu Curry - 10oz,$5.99,10oz
Frozen,Frozen Spanakopita - 8.5oz/12ct - Good & Gather™,$6.59,8.5oz
Frozen,Frozen Cream Cheese Wontons - 6.7oz/10ct - Good & Gather™,$6.59,6.7oz
Frozen,Frozen Vegetable Spring Rolls - 10oz/5ct - Good & Gather™,$6.59,10oz
Frozen,Stouffer's Frozen Lasagna with Meat & Sauce Frozen Dinner - 10.5oz,$3.99,10.5oz
Frozen,Frozen Jalapeno Cream Cheese Wontons - 6.7oz/10ct - Good & Gather™,$6.59,6.7oz
Frozen,Stouffer's Salisbury Steak with Mac and Cheese Frozen Meal - 9.625oz,$3.99,9.625oz
Frozen,Stouffer's Spaghetti With Meat Sauce Frozen Dinner - 12oz,$3.99,12oz
Frozen,Stouffer's Classic Meatloaf Frozen Dinner - 9.875oz,$3.99,9.875oz
Frozen,Stouffer's Spaghetti With Meatballs Frozen Dinner - 12.625oz,$3.99,12.625oz
Frozen,Stouffer's Party Size Frozen Lasagna with Meat & Sauce - 90oz,$17.49,90oz
